lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
19,0,135.0,5,7,4,1,0,0,0,1
74,0,101.5,9,18,3,2,0,1,0,1
34,1,107.1,6,14,4,3,0,3,0,1
73,1,79.05,3,16,4,4,1,0,0,0
0,0,67.0,11,25,2,1,0,0,0,1
94,1,96.3,4,12,4,2,0,0,0,1
134,1,76.58,5,9,4,4,1,0,0,1
1,0,80.0,1,18,4,0,1,0,0,1
75,1,127.8,7,30,4,1,0,0,3,1
100,1,140.0,9,28,3,4,0,1,0,1
91,0,116.1,6,18,4,1,1,3,0,0
22,0,95.0,10,11,3,3,0,0,0,1
13,0,153.0,8,24,4,1,1,0,5,1
32,0,73.0,11,20,3,2,0,0,0,1
63,1,126.9,6,9,4,3,0,0,0,0
26,0,127.2,9,5,4,3,1,0,0,0
296,1,117.0,9,21,4,4,0,1,0,0
8,0,95.0,4,5,4,1,0,0,0,0
7,0,130.67,8,13,4,1,2,0,0,0
263,0,110.0,10,21,3,2,0,0,0,0
140,0,70.0,12,29,3,5,0,0,0,1
131,0,94.5,8,15,3,1,2,1,0,1
6,0,137.0,3,3,4,3,0,0,0,0
219,1,145.1,9,13,4,2,0,0,0,0
19,0,75.0,7,18,3,1,1,3,0,1
16,4,142.0,10,1,4,2,0,0,0,1
57,0,75.0,9,16,3,2,0,0,0,1
7,1,152.0,9,14,4,2,1,0,0,1
18,1,65.0,10,18,2,1,0,0,0,1
31,1,64.67,11,14,4,5,2,0,0,1
6,0,85.0,8,28,3,1,2,0,0,1
148,0,67.0,12,30,3,4,1,0,0,1
63,3,118.33,11,10,4,3,0,3,0,1
178,0,94.62,8,23,4,3,0,0,1,0
151,0,71.0,1,19,3,4,0,0,0,1
93,2,72.25,12,3,4,3,1,0,0,1
102,2,86.4,12,6,4,2,0,0,0,0
167,1,72.25,8,4,3,3,2,0,0,1
57,1,103.8,10,30,4,1,2,0,0,1
181,2,76.5,8,6,4,2,0,0,1,0
245,0,107.59,9,22,4,5,2,0,0,0
49,0,80.75,6,3,3,2,0,0,0,1
71,0,120.0,6,14,3,3,0,0,0,1
44,0,75.0,2,17,3,3,0,0,0,1
2,0,63.75,6,26,3,3,2,3,0,1
147,2,106.25,6,28,4,5,2,0,0,1
0,0,223.0,5,19,4,1,0,0,3,0
44,0,67.5,2,12,4,2,0,3,0,0
116,0,59.5,3,25,4,2,2,0,0,0
11,1,126.0,5,8,4,1,2,0,3,1
129,1,114.3,8,6,4,1,0,0,0,1
13,1,85.29,8,27,4,5,2,0,1,0
186,0,80.75,9,2,3,2,2,0,0,1
20,2,93.0,2,7,4,1,2,0,0,1
12,0,95.0,2,15,4,3,1,0,0,1
10,0,80.75,12,5,4,1,1,0,0,1
102,0,59.5,11,7,3,2,1,3,0,0
7,0,94.0,8,8,2,0,1,0,3,1
26,3,124.0,9,12,4,1,2,0,0,1
106,1,90.95,4,17,4,2,2,0,3,1
320,1,115.0,8,18,3,2,0,1,0,0
0,1,69.0,11,30,4,7,3,0,0,1
13,0,81.0,3,8,4,2,0,3,0,1
15,0,103.44,4,27,4,3,0,0,0,0
270,0,80.0,4,20,3,4,0,0,0,1
102,0,89.25,10,16,4,2,1,0,0,1
102,0,87.0,10,16,3,2,0,1,0,1
1,0,65.0,9,30,2,1,0,0,0,1
78,1,95.0,9,29,3,3,0,0,0,1
112,0,100.0,6,2,3,2,0,0,0,1
273,0,109.0,7,17,3,2,0,1,0,0
25,2,129.0,10,17,4,2,1,0,0,1
72,0,79.65,10,30,4,2,2,3,0,0
93,2,76.5,8,15,4,3,2,0,0,0
91,0,114.3,7,6,4,1,0,0,0,1
24,1,71.69,9,11,4,0,2,3,0,1
5,0,66.0,2,28,2,0,2,0,0,1
6,0,88.0,12,1,4,1,0,3,0,1
57,1,135.9,8,10,4,2,0,0,0,1
14,0,0.0,9,17,4,2,0,1,0,1
12,0,75.2,12,14,4,1,0,0,0,1
5,0,73.15,11,15,4,0,1,3,0,1
99,0,81.0,2,19,2,1,0,0,0,1
97,1,109.81,4,30,4,5,2,0,0,1
56,1,85.85,3,28,4,5,1,0,0,0
60,1,123.3,9,3,4,1,1,0,3,0
8,1,85.35,10,29,4,1,2,3,0,1
198,1,159.3,9,22,4,3,0,0,3,0
163,1,72.25,8,21,3,6,4,1,0,1
19,1,117.81,9,23,4,2,1,0,0,1
20,0,80.0,11,14,3,2,1,0,0,1
3,0,98.8,9,7,3,1,1,0,0,1
1,0,51.5,2,7,3,1,2,0,3,1
30,1,79.6,1,31,4,0,2,0,3,1
118,0,110.0,6,6,3,1,1,0,0,1
386,1,115.0,10,23,4,0,2,1,0,0
186,2,102.6,9,30,4,2,2,3,0,0
304,0,89.0,11,3,4,3,0,0,0,0
2,0,55.0,3,2,3,1,0,0,3,1
12,0,75.0,10,5,3,2,1,0,3,1
9,3,201.0,8,1,4,0,1,0,5,1
183,0,187.5,8,16,4,5,0,1,3,0
79,1,37.33,7,7,1,3,0,0,0,1
256,0,100.75,10,16,4,3,2,0,0,0
97,1,96.3,4,8,4,2,0,0,0,1
175,0,112.63,8,31,4,4,0,0,0,0
69,1,57.52,10,28,4,1,0,3,0,1
10,1,95.0,9,1,3,1,0,0,0,1
0,0,62.8,12,24,3,3,2,0,0,1
122,0,86.0,3,27,3,1,2,1,0,1
11,1,95.48,3,16,4,3,0,0,3,1
67,1,125.1,8,13,4,1,0,3,0,1
42,1,106.8,11,25,4,3,0,0,0,1
4,0,109.0,1,2,3,1,2,1,0,1
4,0,59.0,1,25,2,0,1,0,0,1
133,0,88.5,4,29,4,2,1,3,0,0
74,0,55.24,2,17,4,4,1,0,0,1
2,0,102.7,8,2,4,1,0,0,0,1
135,2,94.5,5,22,4,0,2,3,0,1
128,1,105.4,5,4,3,3,0,0,0,1
0,0,89.0,5,9,4,0,1,3,0,1
6,0,81.0,8,23,4,0,1,3,0,1
38,0,85.0,12,2,2,2,0,0,0,1
20,0,156.0,5,11,4,1,0,0,3,0
240,2,90.95,10,27,4,3,1,0,0,1
34,2,74.8,11,14,4,5,2,0,0,0
79,0,75.0,11,13,3,2,0,0,0,1
126,2,125.45,5,15,4,3,2,0,3,1
4,1,88.0,12,14,4,1,0,0,0,1
31,1,125.1,10,4,4,1,0,0,0,1
2,0,75.0,9,20,3,1,2,0,3,1
35,0,84.24,6,1,4,2,0,3,0,0
147,1,127.93,7,3,4,2,2,0,3,1
176,2,137.7,8,9,4,3,0,0,3,0
0,0,65.0,5,23,2,0,1,0,0,1
22,2,206.0,6,13,4,3,1,0,5,1
31,1,135.9,7,27,4,2,0,0,0,0
73,1,149.4,9,19,4,3,1,0,3,0
2,0,98.0,3,22,4,2,0,3,0,1
83,0,75.0,12,18,3,0,2,0,0,1
8,0,101.0,2,6,2,1,0,0,6,1
11,1,80.3,1,20,4,2,0,0,0,1
192,0,94.5,8,3,4,2,0,3,0,0
39,2,130.9,12,8,4,8,2,0,3,1
188,0,130.0,6,15,4,2,0,0,0,0
64,0,70.46,3,10,4,13,6,3,0,0
39,2,96.3,10,23,4,1,0,0,0,1
47,0,119.52,9,18,4,2,2,0,3,1
74,0,109.0,9,18,3,2,0,1,0,1
27,2,195.5,8,8,4,1,1,0,0,1
256,1,115.0,6,15,3,2,0,1,0,0
267,0,95.0,9,30,3,2,1,0,0,0
33,1,120.6,10,3,4,0,1,3,0,1
47,1,86.35,3,11,4,2,2,0,0,1
54,0,117.9,7,3,4,1,2,0,0,0
95,0,80.75,5,6,3,2,1,0,0,1
89,1,87.3,4,1,4,2,0,0,0,1
104,0,150.3,8,24,4,4,0,0,3,0
156,1,106.89,8,12,4,6,2,0,0,0
213,0,130.0,6,7,3,3,0,0,0,0
44,1,66.29,2,21,4,5,2,3,0,1
86,1,90.95,4,25,4,3,1,0,0,1
78,1,108.45,4,6,4,4,0,0,3,1
76,1,140.4,5,12,4,3,0,0,3,1
170,1,112.2,8,11,4,3,2,0,3,0
4,0,67.5,1,16,4,1,1,3,0,1
131,0,94.5,8,15,3,1,2,1,0,0
19,0,115.0,3,3,4,1,0,3,0,0
97,0,84.43,5,1,4,4,2,3,0,0
0,1,129.0,6,17,4,1,0,3,0,1
275,0,90.0,10,5,3,4,1,0,0,0
16,1,111.75,10,1,4,3,1,0,0,1
146,0,95.0,4,24,3,0,2,0,0,0
35,0,73.1,3,2,4,2,0,3,0,0
20,0,70.42,12,28,4,2,1,0,3,1
191,0,132.0,6,3,3,2,1,0,0,0
36,1,68.07,12,10,4,6,2,0,0,1
105,1,114.3,7,7,4,3,1,0,0,1
10,0,110.0,9,30,0,1,0,0,3,0
6,1,87.27,10,30,4,2,1,0,0,1
167,0,96.3,8,26,4,2,1,0,0,0
138,0,142.2,8,18,4,2,0,0,3,0
3,0,185.57,4,7,4,2,0,0,6,1
33,1,149.0,10,26,4,4,0,0,0,0
290,0,72.0,6,17,3,2,1,0,0,0
246,0,104.55,12,26,4,3,1,0,3,1
75,0,90.0,4,17,4,0,2,3,0,1
12,0,55.72,2,6,4,2,2,3,0,1
14,1,91.0,2,7,4,2,2,0,0,0
7,0,58.0,12,9,3,3,0,0,0,1
4,0,55.0,11,27,3,2,1,0,0,1
177,0,84.39,8,22,4,5,2,3,0,0
176,0,108.9,10,7,4,2,0,0,0,0
5,0,167.0,8,21,4,0,1,0,0,0
308,1,78.3,11,23,4,3,0,0,0,0
88,0,112.2,10,5,3,1,1,1,0,1
4,0,80.0,2,19,2,1,0,0,0,0
188,1,80.75,7,23,4,5,2,3,0,1
46,1,96.16,3,13,4,5,3,0,3,0
9,1,67.0,10,13,2,2,0,0,0,1
9,2,194.0,6,27,4,3,1,1,3,1
0,0,75.0,10,3,2,0,1,0,0,1
235,2,105.3,8,6,4,1,1,0,0,0
96,0,82.45,8,11,3,2,0,0,3,1
135,1,79.72,5,9,4,4,1,0,0,0
101,0,80.0,4,4,3,2,1,0,0,0
212,1,78.0,5,20,3,3,2,0,0,1
28,2,75.0,9,27,3,1,0,0,0,1
13,0,75.0,3,20,3,0,1,0,0,1
306,3,104.4,8,14,4,1,2,0,0,1
51,1,83.3,3,21,4,3,1,3,1,1
177,0,80.75,10,14,3,2,1,0,0,1
17,0,142.54,11,6,4,2,2,3,0,1
45,2,151.2,8,30,4,3,0,0,3,1
244,2,94.5,12,21,4,2,0,0,0,0
100,1,136.0,5,19,4,3,1,0,0,1
41,0,76.5,3,15,4,1,0,0,0,0
192,0,95.0,6,24,3,2,0,0,0,1
24,0,157.0,6,22,4,2,0,0,3,0
29,1,129.0,10,20,4,2,0,0,0,0
18,2,12.0,9,2,4,3,0,0,0,1
104,1,91.48,10,18,4,4,0,0,0,1
4,2,133.33,10,28,4,2,1,3,0,1
34,0,122.4,6,19,4,1,2,0,3,0
64,2,65.36,1,19,4,2,0,3,0,1
1,0,85.0,1,23,4,1,0,0,0,1
138,1,71.67,7,2,4,2,2,0,0,1
12,1,118.5,8,31,4,2,0,3,0,1
28,2,104.5,8,30,4,4,0,3,0,1
164,0,100.0,10,2,3,2,0,0,0,1
20,0,65.0,6,29,2,1,0,0,0,1
5,0,80.0,12,18,3,2,2,0,0,1
9,0,67.5,1,14,4,2,0,3,0,1
12,1,89.0,1,15,4,2,1,0,0,1
102,0,101.5,10,16,3,2,0,1,0,0
48,2,93.5,3,20,4,2,2,0,0,1
7,2,241.0,5,25,4,2,0,0,5,1
55,0,104.0,4,6,3,1,0,1,0,1
90,0,112.88,9,7,3,3,0,0,3,1
50,1,123.3,9,2,4,2,1,0,3,0
81,0,59.5,3,18,3,2,2,0,0,1
275,0,62.8,6,4,3,1,1,0,0,0
113,0,100.0,5,31,2,3,0,0,0,0
18,1,142.43,8,27,4,5,2,0,3,0
141,1,72.76,5,23,4,0,1,3,0,1
29,0,98.0,4,12,4,3,0,3,0,0
50,1,108.0,10,19,4,1,0,3,0,0
20,0,67.0,12,4,2,0,2,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
2,0,89.0,3,30,4,1,0,3,0,1
40,0,135.76,4,22,4,5,2,0,3,0
69,0,123.98,9,1,4,6,2,3,0,0
3,0,119.0,8,17,2,4,1,0,0,0
2,0,99.14,8,19,4,5,2,0,0,1
143,0,106.0,7,18,2,3,1,0,4,1
377,1,115.0,10,14,3,2,0,1,0,0
0,0,15.0,7,10,4,0,1,0,0,1
14,1,139.0,2,14,4,5,2,0,3,1
144,0,95.4,6,2,4,3,0,3,0,1
1,1,74.25,1,4,4,1,1,0,1,1
4,0,93.0,2,20,4,1,0,0,0,1
101,0,70.0,4,4,3,2,1,0,0,0
296,1,117.0,9,21,3,4,0,1,0,0
0,0,124.0,8,10,4,3,1,0,0,1
143,0,100.0,8,25,3,3,0,0,0,1
109,3,131.4,8,11,4,3,1,0,3,1
92,1,89.25,10,6,4,5,0,0,0,1
13,0,96.0,4,26,3,3,0,1,0,1
224,2,128.7,10,23,4,1,2,0,3,0
386,1,115.0,10,23,3,0,2,1,0,0
161,0,130.0,3,25,3,2,1,1,0,0
36,0,214.75,8,21,4,0,1,0,6,0
21,0,196.0,4,11,4,1,1,0,5,0
81,2,89.25,10,24,4,3,2,0,0,1
28,1,144.8,5,20,4,2,1,0,3,1
237,0,80.75,9,14,4,2,1,0,0,0
46,1,98.1,9,7,4,1,0,0,0,1
137,0,133.2,8,23,4,4,0,0,3,0
85,0,100.0,9,30,3,3,0,1,0,1
34,1,66.0,2,17,3,4,1,0,0,1
0,1,141.0,5,12,4,1,0,0,0,1
30,0,139.28,10,2,4,2,2,0,0,0
37,0,95.0,10,13,3,3,0,0,0,1
13,1,151.0,8,6,4,1,0,0,0,1
113,0,138.55,7,1,4,6,2,0,3,0
155,0,142.83,10,20,4,3,0,0,3,0
4,2,109.0,3,11,4,2,1,0,0,1
43,1,72.0,12,2,3,2,0,0,0,1
232,2,110.7,12,5,4,2,1,0,3,1
1,1,89.5,12,18,4,0,1,0,0,1
142,1,128.7,7,1,4,2,0,0,3,1
9,1,107.0,11,12,4,3,1,0,3,1
160,0,106.75,8,8,4,5,2,3,0,0
177,0,100.0,6,3,3,2,0,0,0,0
0,1,182.33,5,27,4,2,0,0,3,0
3,0,75.0,12,4,4,1,0,3,0,1
20,2,115.6,6,8,4,2,0,0,3,1
0,0,91.59,8,16,4,2,0,3,0,1
92,1,187.85,6,1,4,4,0,0,5,1
276,0,95.0,9,22,4,3,0,0,0,0
44,1,95.0,4,23,3,1,2,0,0,1
27,0,85.0,5,4,3,1,0,0,0,1
61,1,78.9,2,29,4,2,1,0,0,0
61,0,68.85,7,8,4,8,2,0,0,0
83,0,75.0,5,1,3,1,2,0,0,1
172,1,79.03,7,4,4,4,1,0,0,1
48,1,108.0,10,4,4,3,0,3,0,0
37,1,69.5,2,12,4,2,1,0,1,1
92,0,90.95,4,7,3,3,1,0,3,1
0,0,95.0,6,20,0,3,1,0,0,1
0,1,0.0,9,28,1,1,0,0,3,1
60,0,143.1,4,30,4,1,1,0,0,0
188,0,105.3,8,13,4,1,1,0,0,0
1,2,136.0,6,11,4,1,1,0,3,1
28,2,96.3,10,12,4,2,1,0,0,1
39,0,109.0,8,14,3,2,0,1,0,1
10,0,129.0,6,29,4,2,0,3,0,0
5,1,130.0,8,20,4,1,0,0,0,1
7,1,90.0,8,17,4,2,1,0,0,1
1,0,75.0,11,29,3,1,0,0,0,1
14,0,89.0,4,19,4,1,0,3,0,0
137,1,147.9,7,29,4,7,3,1,3,1
76,2,129.0,6,17,4,2,2,0,0,1
20,0,58.0,12,27,3,1,2,0,0,1
105,0,75.0,4,6,3,1,0,0,0,0
11,0,94.5,8,15,3,1,2,1,0,1
23,0,96.0,3,10,4,3,1,0,0,0
164,0,100.0,10,2,3,2,0,0,0,0
189,0,72.25,8,8,3,3,1,0,0,1
105,3,72.25,11,26,4,3,0,0,0,1
52,0,145.24,10,23,4,3,2,0,4,0
145,0,94.5,8,1,4,1,1,3,0,1
81,0,190.29,7,11,4,5,2,1,3,1
6,1,169.93,9,12,4,1,1,0,3,1
10,1,89.0,4,3,4,0,2,3,0,1
54,0,140.4,6,4,4,1,0,0,3,0
176,0,125.1,9,8,3,3,0,0,0,0
68,0,125.1,9,16,4,1,0,3,0,0
50,2,127.8,10,4,4,2,0,0,0,1
1,0,98.0,8,9,4,0,2,0,0,1
150,0,80.1,10,30,4,0,2,3,0,0
135,0,90.0,9,14,3,2,1,0,0,1
111,0,120.0,10,10,3,0,1,0,0,0
3,0,138.5,7,11,3,1,2,1,0,1
122,2,76.5,7,13,4,0,1,0,0,0
40,1,158.4,10,2,4,0,1,0,3,1
204,2,93.22,8,15,4,10,5,0,0,0
119,0,112.5,6,28,4,1,0,0,0,0
240,0,140.4,9,30,4,2,0,0,3,0
96,3,108.0,10,3,4,1,1,3,0,1
131,0,108.0,10,10,4,0,1,3,0,0
247,1,115.0,6,6,3,1,1,1,0,0
137,1,79.72,5,22,4,3,2,0,0,1
18,1,146.0,5,10,4,3,0,0,3,1
52,0,132.9,7,8,4,2,1,0,0,0
304,0,89.0,11,3,3,3,0,0,0,0
73,0,145.93,7,2,4,10,4,0,3,0
142,1,138.55,8,8,4,4,1,0,3,1
88,0,98.18,4,26,4,4,0,0,0,0
94,0,117.9,8,23,4,2,0,0,0,0
57,1,90.67,6,10,3,2,1,0,0,1
61,0,63.58,3,19,3,2,2,0,0,1
276,0,116.33,9,22,3,3,0,0,0,0
117,1,72.25,7,27,3,4,1,0,0,1
6,1,90.2,2,7,3,2,2,0,0,1
76,0,80.75,9,17,4,4,2,0,0,1
83,2,112.59,9,28,4,1,0,3,0,1
89,1,87.3,4,8,4,2,1,0,0,1
166,0,110.0,11,1,3,3,0,0,0,0
10,0,110.0,5,29,2,5,3,0,0,1
250,0,95.0,9,26,3,3,1,0,0,0
9,0,0.0,4,6,4,1,0,1,0,1
273,0,95.0,5,13,4,2,1,0,0,0
85,2,73.95,3,17,4,3,2,0,0,1
79,0,88.5,4,17,4,1,2,3,0,0
30,0,140.0,6,2,3,2,0,0,0,1
0,0,99.2,9,7,3,1,1,0,0,1
5,0,100.0,5,24,2,2,0,0,0,1
14,1,98.11,12,28,4,5,2,3,0,1
12,3,184.0,2,24,4,4,0,1,3,1
95,3,103.7,12,21,4,5,2,0,0,1
80,0,136.0,10,9,3,2,0,1,3,1
52,1,207.9,9,14,4,3,0,0,5,0
64,0,93.5,3,18,4,2,2,0,0,1
11,1,129.75,7,25,4,2,1,0,0,1
178,0,124.5,8,18,4,3,0,0,0,0
0,0,161.0,7,25,4,2,1,0,0,1
224,0,102.25,8,8,3,2,1,1,0,0
7,2,138.0,9,11,4,2,0,0,0,1
0,0,163.18,5,18,2,1,0,0,0,0
260,0,113.4,9,22,4,3,0,3,0,0
1,1,95.0,11,5,4,2,0,3,0,1
172,0,80.75,6,27,4,4,1,3,0,0
219,0,72.25,8,17,3,3,0,0,0,1
50,0,79.56,7,13,3,4,2,0,0,0
14,2,184.0,9,22,4,1,0,0,3,1
0,0,0.0,10,1,1,1,0,0,0,1
156,1,72.25,7,16,3,2,2,0,0,1
211,0,100.0,5,20,3,2,0,0,0,0
40,0,75.0,10,28,3,3,0,0,3,1
229,0,70.44,10,27,4,3,0,0,0,0
7,1,156.0,6,16,4,4,2,0,3,0
60,0,65.0,9,21,3,1,1,0,0,1
143,0,0.0,4,24,4,0,0,0,0,1
0,2,0.0,12,12,1,0,1,0,0,1
193,0,120.0,6,20,3,2,1,0,0,0
61,1,72.24,10,26,3,1,1,0,0,1
6,1,126.0,5,9,4,1,1,0,3,1
87,2,181.16,7,9,4,5,2,0,5,1
119,0,90.9,4,15,4,2,0,0,0,1
72,1,53.95,9,19,4,3,1,0,3,1
5,0,64.0,2,2,3,3,0,0,0,1
5,0,82.35,11,28,4,1,1,3,0,1
16,0,76.0,3,8,2,2,0,0,3,1
104,1,77.03,7,16,4,1,1,0,0,1
170,1,96.3,6,28,4,3,0,0,0,1
75,0,80.0,3,17,3,3,1,0,0,0
0,0,55.08,2,12,4,1,0,0,0,1
7,0,95.0,4,4,4,0,1,0,0,1
12,2,134.33,7,19,4,3,0,0,0,1
110,0,95.0,6,26,4,1,2,0,0,0
15,0,60.0,12,27,3,1,0,0,0,1
18,1,75.0,1,21,4,2,0,3,0,1
245,0,110.0,7,6,3,4,2,0,0,0
30,0,149.4,5,11,4,4,0,0,3,0
79,1,95.2,4,4,4,3,1,0,3,1
61,1,75.0,11,23,3,3,0,0,0,1
235,0,106.25,10,27,4,3,1,0,0,0
3,0,131.0,7,24,4,0,1,0,0,1
0,1,45.0,10,28,3,1,0,0,0,1
38,0,112.59,9,26,4,1,1,3,0,0
100,0,38.67,3,25,3,2,1,0,0,1
19,1,95.0,10,27,2,1,0,0,0,1
94,0,146.7,6,30,4,2,0,0,3,0
13,0,156.0,5,6,4,2,0,0,3,1
84,1,60.98,11,5,4,1,0,3,0,1
6,0,54.0,2,28,3,0,2,0,0,1
80,1,80.33,3,17,4,3,1,0,0,1
94,0,96.3,3,9,4,3,0,0,3,1
71,1,87.13,4,3,4,2,2,0,0,1
38,3,77.23,11,2,4,4,0,0,3,1
122,1,105.3,5,12,4,2,0,0,0,1
2,1,78.2,11,6,3,5,2,0,3,1
86,1,105.4,4,25,4,5,3,0,0,0
47,0,90.3,2,18,4,3,0,0,3,1
1,0,71.7,1,27,4,2,0,0,0,1
44,0,98.8,12,2,4,2,0,0,0,0
0,2,135.5,10,1,4,2,0,0,0,1
0,0,75.0,3,24,3,1,0,0,0,1
99,0,65.0,10,30,4,2,2,0,0,0
25,2,89.89,12,10,4,2,2,0,0,1
75,0,80.0,3,17,4,3,1,0,0,0
102,0,40.67,1,3,3,1,2,0,0,1
0,0,101.18,7,23,4,1,0,0,0,1
17,2,135.0,10,7,4,1,0,3,0,1
19,2,174.0,9,15,4,2,0,0,3,1
42,0,88.2,3,22,4,1,0,3,0,1
49,0,63.75,3,8,4,4,0,3,0,0
77,1,115.8,4,18,4,2,1,0,3,1
0,3,129.0,8,30,4,3,0,3,0,1
9,0,82.92,3,30,4,1,0,0,0,1
77,1,125.1,6,18,4,1,1,0,0,1
95,1,65.83,4,14,4,1,0,3,0,1
177,1,80.75,7,26,4,4,0,3,0,0
67,0,75.0,12,2,3,2,1,0,0,1
33,1,131.88,11,6,4,3,2,0,0,1
18,1,61.53,11,20,4,2,2,3,0,1
10,0,58.0,12,11,3,3,2,0,0,1
12,0,72.96,1,10,4,5,2,0,3,1
103,0,96.05,4,6,4,4,1,0,3,1
2,0,77.25,1,7,4,3,0,0,1,1
0,0,82.66,7,23,4,1,0,3,0,1
44,1,106.2,4,27,4,2,0,0,0,1
62,0,72.75,3,7,4,4,1,3,0,0
12,1,65.0,6,20,2,0,1,0,0,1
2,1,116.27,7,9,4,1,0,0,0,1
166,0,110.0,11,1,4,3,0,0,0,0
36,2,148.5,10,3,4,1,1,0,3,1
2,0,88.0,3,16,0,2,0,0,0,1
10,0,129.0,5,15,2,9,4,0,0,1
43,1,149.4,5,18,4,1,0,0,3,1
184,2,105.3,8,9,4,3,0,0,0,0
58,0,113.4,6,20,4,2,1,0,3,0
44,0,107.1,4,2,4,1,1,3,0,0
73,1,107.95,4,9,4,2,2,0,3,0
156,1,114.83,7,5,4,4,0,0,0,0
37,0,94.5,9,16,4,2,0,0,0,1
94,1,111.33,10,8,4,1,2,0,0,1
16,1,0.0,10,8,4,0,0,0,0,1
1,0,65.0,3,29,2,1,0,0,0,1
77,1,75.0,12,9,3,2,0,0,0,1
189,1,60.0,3,25,3,2,1,0,3,1
22,1,95.0,11,19,4,3,0,0,0,1
222,0,118.0,4,28,4,3,2,0,0,0
145,0,94.5,8,29,3,1,2,1,0,1
123,0,120.34,10,21,4,5,2,0,3,1
0,1,89.0,4,4,4,0,1,3,0,1
34,2,100.35,8,28,4,4,2,3,0,0
83,2,159.3,4,3,4,1,2,0,5,1
181,1,250.0,10,11,3,1,0,0,0,0
42,1,90.76,2,14,4,3,2,0,3,1
14,0,95.0,10,3,2,0,1,0,0,1
184,0,98.1,10,12,4,1,0,3,0,0
2,0,94.0,11,2,0,2,0,0,3,1
38,1,145.8,9,21,4,2,1,0,0,1
99,0,80.5,2,19,2,2,0,0,0,1
30,1,88.56,7,14,3,3,1,3,0,1
210,0,72.75,10,8,3,3,1,0,0,1
4,0,85.5,4,7,3,3,0,0,0,1
287,2,100.8,9,29,4,3,0,0,0,0
23,0,109.0,3,18,4,1,0,0,0,1
27,2,139.0,7,6,4,1,0,3,0,1
